bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank,failure_rate,expected_delay,mean_delay_when_failed,mean_vehicles_delayed,norm_criticality,norm_vulnerability,priority_equal,priority_crit_heavy,priority_vuln_heavy,priority_rank,quadrant
1000276,N1,Bridge start,B,0,23.314847200000003,91.28451355,25027.2,42.48,0.8245759696358677,0.8440294059209219,0.8304120005213839,31,0.1,27140.9,271409.0,1869.5,0.8304120005213839,0.06444822371957927,0.44743011212048156,0.6006228674808425,0.29423735676012064,48,A
1000228,N1,Bridge start,B,0,23.42349935,91.163125,25028.6,42.48,0.824622095705004,0.8440294059209219,0.8304442887697794,26,0.3,24723.0,82410.0,1707.4,0.8304442887697794,0.058706728038464384,0.44457550840412186,0.5989230205503849,0.2902279962578589,49,A
2000419,N2,SAHAPUR BOX CULVERT,A,3,24.21094445,91.3561111,29380.7,0.0,0.9680115710539148,0.0,0.6776080997377404,46,0.3,85931.5,286438.3333333333,5931.8,0.6776080997377404,0.20405117503690096,0.44082963738732067,0.5355410223274885,0.3461182524471528,50,A
2000217,N2,OLD BRAMMAPULRA,C,429,24.05733335,90.96331945,20729.1,0.0,0.6829656426679318,0.0,0.4780759498675522,132,0.2,169388.1,846940.5,1315.3,0.4780759498675522,0.40222550336335433,0.4401507266154533,0.4553208159162928,0.42498063731461366,51,A
1000355,N1,UTTOR KAIEATI CULVERT,A,4,23.08074935,91.35490275,25026.9,42.48,0.8245660854781957,0.8440294059209219,0.8304050816110135,34,0.1,19910.5,199105.0,1370.6,0.8304050816110135,0.04727906437769871,0.43884207299435607,0.595467276441019,0.2822168695476931,52,A
1000334,N1,DIMATOLY (2) BOX CULVERT,B,4,23.1433886,91.326666,25024.2,42.48,0.8244771280591469,0.8440294059209219,0.8303428114176793,40,0.1,4799.8,47998.0,330.4,0.8303428114176793,0.011397506501598566,0.4208701589596389,0.584659219942855,0.25708109797642276,53,B
2000417,N2,Shapur Bridge (2 bridges at crossing),A,30,24.2088889,91.3546944,29379.9,0.0,0.9679852133001228,0.0,0.6775896493100858,48,0.2,67172.6,335863.0,1808.4,0.6775896493100858,0.1595066763676153,0.41854816283885055,0.5221647574273446,0.31493156825035645,54,A
1000325,N1,Bridge start,B,0,23.16809655,91.3213604,25027.1,42.48,0.8245726749166435,0.8440294059209219,0.830409694217927,32,0.0,0.0,0.0,0.0,0.830409694217927,0.0,0.4152048471089635,0.5812867859525489,0.24912290826537808,55,B
2000888,N2,Teli Bazar Bridge,A,41,24.861,91.84704135,17544.0,0.0,0.5780255406634247,0.0,0.4046178784643973,211,0.4,176139.2,440348.0,4747.7,0.4046178784643973,0.4182565267691092,0.4114372026167532,0.40870947295581084,0.4141649322776956,56,A
2000399,N2,ITAKHOLA BOX CULVERT,A,3,24.1700827,91.3490274,29375.7,0.0,0.9678468350927136,0.0,0.6774927845648995,51,0.4,56750.6,141876.5,3913.6,0.6774927845648995,0.13475880921488803,0.40612579688989375,0.514672591959896,0.29757900181989144,57,A
