road,id,model_type,name,lat,lon,length,condition,lrp
N1,1000236,bridge,DHOOM GHAT PC GIRDER,22.9156667,91.5259438,221,B,LRP168a
N1,1000237,link,link 200,22.9167216,91.5253882,130,,LRP168
N1,1000238,link,link 201,22.9248882,91.5213327,999,,LRP167
N1,1000239,link,link 202,22.9329716,91.5172216,993,,LRP166
N1,1000240,link,link 203,22.940833,91.5124444,1002,,LRP165
N1,1000241,link,link 204,22.9439441,91.5108611,382,,LRP164a
N1,1000242,link,link 205,22.9482774,91.50725,607,,LRP164
N1,1000243,link,link 206,22.949583,91.5027778,480,,LRP163b
N1,1000244,link,link 207,22.9496663,91.5007778,205,,LRP163a
N1,1000245,bridge,Bridge start,22.9496663,91.5007778,0,B,LRP163a
N1,1000246,link,link 208,22.9497774,91.4980274,282,,LRP163
N1,1000247,link,link 209,22.9497497,91.4883608,990,,LRP162
N1,1000248,link,link 210,22.9484997,91.4786938,1000,,LRP161
N1,1000249,link,link 211,22.9483608,91.4761382,262,,LRP160a
N1,1000250,link,link 212,22.9479997,91.4689993,732,,LRP160
N1,1000251,link,link 213,22.9514444,91.4600278,995,,LRP159
N1,1000252,link,link 214,22.9561389,91.4517778,993,,LRP158
N1,1000253,link,link 215,22.9611667,91.4433886,1025,,LRP157
N1,1000254,link,link 216,22.9618056,91.4424997,115,,LRP156b
N1,1000255,link,link 217,22.9624167,91.4416941,107,,LRP156a
N1,1000256,bridge,LAMUA BRIDGE,22.9624167,91.4416941,94,B,LRP156a
N1,1000257,link,link 218,22.9663333,91.4356108,760,,LRP156
N1,1000258,link,link 219,22.9711382,91.4273882,997,,LRP155
N1,1000259,link,link 220,22.9774438,91.4205827,988,,LRP154
N1,1000260,link,link 221,22.9842219,91.4137222,1030,,LRP153
N1,1000261,link,link 222,22.9858886,91.4120556,252,,LRP152b
N1,1000262,link,link 223,22.9877774,91.41,297,,LRP152a
N1,1000263,link,link 224,22.9906941,91.4072222,431,,LRP152
N1,1000264,link,link 225,22.9960552,91.4006667,898,,LRP151b
N1,1000265,link,link 226,22.9961941,91.4005,23,,LRP151a
N1,1000266,bridge,Bridge start,22.9961941,91.4005,0,B,LRP151a
N1,1000267,link,link 227,22.9963886,91.3998052,74,,LRP151
N1,1000268,link,link 228,23.0018889,91.3920552,1002,,LRP150
N1,1000269,link,link 229,23.0095556,91.3813604,1387,,LRP148a
N1,1000270,link,link 230,23.0132778,91.3769438,613,,LRP148
N1,1000271,link,link 231,23.0140833,91.3759716,134,,LRP147b
N1,1000272,link,link 232,23.0185271,91.3708327,722,,LRP147a
N1,1000273,link,link 233,23.0193604,91.3697771,142,,LRP147
N1,1000274,link,link 234,23.0248327,91.3655278,748,,LRP146a
N1,1000275,link,link 235,23.0269716,91.3655,238,,LRP146
N1,1000276,link,link 236,23.029416,91.3656389,272,,LRP145a
N1,1000277,link,link 237,23.0360274,91.36575,735,,LRP145
