road,id,model_type,name,lat,lon,length,condition,lrp,small_truck,medium_truck,heavy_truck,aadt
N1,1000099,link,link 81,23.5590278,90.6559444,157,,LRP031a,1116.0,5314.0,355.0,14822.0
N1,1000100,link,link 82,23.5564444,90.6588611,413,,LRP031b,1116.0,5314.0,355.0,14822.0
N1,1000101,bridge,Bhaber char Bridge(R) (4 bridges at crossing),23.5563333,90.659,30,A,LRP031b,1116.0,5314.0,355.0,14822.0
N1,1000102,link,link 83,23.5562222,90.6591389,0,,LRP031c,1116.0,5314.0,355.0,14822.0
N1,1000103,link,link 84,23.5538056,90.6619722,394,,LRP032,1116.0,5314.0,355.0,14822.0
N1,1000104,link,link 85,23.5523333,90.6636667,238,,LRP032a,1116.0,5314.0,355.0,14822.0
N1,1000105,link,link 86,23.5487497,90.6678327,582,,LRP033,1116.0,5314.0,355.0,14822.0
N1,1000106,link,link 87,23.5474163,90.6694438,221,,LRP033a,1116.0,5314.0,355.0,14822.0
N1,1000107,bridge,NOYAPARA,23.5471802,90.66972155,5,A,LRP033a,1116.0,5314.0,355.0,14822.0
N1,1000108,link,link 88,23.5469441,90.6699993,0,,LRP033b,1116.0,5314.0,355.0,14822.0
N1,1000109,link,link 89,23.5442219,90.6731104,438,,LRP033c,1116.0,5314.0,355.0,14822.0
N1,1000110,link,link 90,23.542583,90.6749438,261,,LRP034,1116.0,5314.0,355.0,14822.0
N1,1000111,link,link 91,23.5362497,90.681916,1001,,LRP035,1116.0,5314.0,355.0,14822.0
N1,1000112,link,link 92,23.536083,90.6821382,29,,LRP035a,1116.0,5314.0,355.0,14822.0
N1,1000113,bridge,Bridge start,23.5359719,90.6822493,0,B,LRP035a,1116.0,5314.0,355.0,14822.0
N1,1000114,link,link 93,23.5358608,90.6823604,0,,LRP035b,1116.0,5314.0,355.0,14822.0
N1,1000115,link,link 94,23.5341386,90.6843052,276,,LRP035c,1116.0,5314.0,355.0,14822.0
N1,1000116,link,link 95,23.5301938,90.688833,637,,LRP036,1116.0,5314.0,355.0,14822.0
N1,1000117,link,link 96,23.529916,90.6952219,652,,LRP036a,1116.0,5314.0,355.0,14822.0
N1,1000118,link,link 97,23.5301382,90.6984997,335,,LRP037,1116.0,5314.0,355.0,14822.0
N1,1000119,link,link 98,23.5307493,90.7082778,999,,LRP038,1116.0,5314.0,355.0,14822.0
N1,1000120,link,link 99,23.5307771,90.7090278,77,,LRP038a,1116.0,5314.0,355.0,14822.0
N1,1000121,link,link 100,23.5313882,90.7153611,649,,LRP038b,1116.0,5314.0,355.0,14822.0
N1,1000122,link,link 101,23.5314716,90.7172216,190,,LRP038c,1116.0,5314.0,355.0,14822.0
N1,1000123,link,link 102,23.5315271,90.7173604,15,,LRP038d,1116.0,5314.0,355.0,14822.0
