LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRP041a,41.09,Culvert,Box culvert,22.9001667,91.099333,N104
LRP042,41.8,Km Post,"Maijdee 3 km,Sonapur 8 km",22.8939441,91.0983052,N104
LRP043,42.8,Km Post,Km post missing,22.8851108,91.0970274,N104
LRP043a,42.82,Culvert,Box Culvert,22.8849163,91.0970552,N104
LRP043b,43.03,"Side Road, Right",Road to Right R-143,22.8833886,91.0971386,N104
LRP043c,43.788,Bridge,Bridge start,22.8767493,91.096833,N104
LRP043d,43.8,Bridge,Bridge end,22.8766382,91.0968608,N104
LRP044,43.82,Km Post,"Maijdee 1 km,Sonapur 6 km",22.8760549,91.0969163,N104
LRP044a,44,Culvert,Box Culvert,22.8743327,91.0969719,N104
LRP044b,44.38,Culvert,Box Culvert,22.8610833,91.0961663,N104
LRP044c,44.464,Bridge,Bridge start,22.8707493,91.0968886,N104
LRP044d,44.473,Bridge,Bridge end,22.870666,91.0968886,N104
LRP044e,44.8,Culvert,Box Culvert,22.8674438,91.0969719,N104
LRP044f,44.86,"Side Road, Left","Z-1452,Link Section end (Maijdee Station road)",22.8674438,91.0971108,N104
LRP045,44.878,Km Post,Km post missing,22.8653611,91.0970552,N104
LRP045a,45,"Side Road, Left","Z-1452,Maijdee Station road",22.8653333,91.0970274,N104
LRP045b,45.2,"Side Road, Right","Road to Dadpur,Z-1429",22.8653333,91.0970274,N104
LRP045c,45.26,Culvert,Box culvert,22.8633333,91.0968608,N104
LRP045d,45.53,Culvert,Box Culvert,22.861,91.0962497,N104
LRP046,45.632,Km Post,"Sonapur 4 km, Bagumganj 10 km, Maijdee 1 km",22.8600278,91.0961108,N104
LRP046a,46.735,Culvert,Box culvert,22.857,91.0963886,N104
LRP047,46.98,Km Post,"Sonapur 3 km,Begumganj 11 km",22.85075,91.0969163,N104
LRP048,47.66,Km Post,"Sonapur 2 km,Begumganj 12 km,Maijdee 3 km",22.8421386,91.097333,N104
LRP048a,47.78,Bridge,Bridge start,22.8414441,91.0982219,N104
LRP048b,47.866,Bridge,Bridge end,22.8413886,91.0983608,N104
LRP048c,48.64,Culvert,Box culvert,22.8345274,91.1004722,N104
LRP049,48.86,Km Post,Sonapur 1 km,22.8328049,91.1005278,N104
LRP049a,48.872,Culvert,Box culvert,22.8324993,91.1005833,N104
LRP049b,49.394,Culvert,Box culvert,22.8278327,91.10125,N104
LRP049c,49.51,"Side Road, Right",Sonapur Link Road Z-1440,22.8533333,91.0967774,N104
LRPE,49.63,Others,Meet with Z1441& Z1405 at Sonapur.,22.8257493,91.1014444,N104
LRPS,0,Others,"Starts of road from N1,Dhaka teknaf road at Madanpur.",23.6904163,90.5466108,N105
LRPS,0,Others,"Starts of road from N1,Dhaka teknaf road at Madanpur.",23.6904163,90.5466108,N105
LRPS,0,Others,"Starts of road from N1,Dhaka teknaf road at Madanpur.",23.6904163,90.5466108,N105
LRP001,1,Km Post,Km post missing,23.6984163,90.5510556,N105
LRP001a,1.12,Culvert,Box culvert,23.6993052,90.5515278,N105
LRP002,2.054,Km Post,"Bangabandhu Bridge 128 km,Mymensingh 132 km",23.7055278,90.5576944,N105
LRP002a,2.336,Culvert,Box culvert,23.7072222,90.5596389,N105
LRP003,3.109,Km Post,"Bangabandhu bridge 127 km,Mymensingh 130 km",23.7118889,90.5651111,N105
LRP003a,3.805,Culvert,Box culvert,23.7161944,90.5700827,N105
LRP004,4.105,Km Post,"Bangabandhu bridge 126 km,Mymensingh 129 km,Gazipur 45 km",23.7179993,90.5722216,N105
LRP004a,4.535,"Side Road, Right",Tanaki Road,23.7206104,90.5753604,N105
LRP005,5.128,Km Post,"Bangabandhu bridge 125 km,Mymensingh 128 km,Gazipur 44 km",23.7242216,90.5794716,N105
LRP005a,5.692,Culvert,Box culvert,23.7277216,90.5834441,N105
LRP006,6.128,Km Post,"Bangabandhu bridge 124 km,Gazipur 43 km,Mymensingh 127 km",23.7303882,90.5865552,N105
LRP006a,6.229,Culvert,Box culvert,23.7310549,90.5872774,N105
LRP006b,6.309,"Side Road, Right","R114, Nayapur- Raipura Road",23.7314716,90.5877774,N105
LRP006c,6.781,Culvert,Box Culvert,23.7357219,90.5871941,N105
LRP007,7.128,Km Post,"Bangabondhu Bridge-123 km,Mymanshingh -126 km, Gazipur 42 km",23.7388052,90.5868052,N105
LRP007a,7.223,Cross Road,"Z1090, Majerchar -Kayetpara Road",23.7396663,90.5867219,N105
LRP007b,7.789,Bridge,Bridge Start,23.7445552,90.5856108,N105
LRP007c,7.831,Bridge,Bridge end,23.7448608,90.5854163,N105
LRP008,8.143,Km Post,"Bangabondhu Bridge- 122 km, Mymensingh- 125 km, Gazipur 41km",23.747333,90.584083,N105
LRP009,9.165,Km Post,"Bangabondhu Bridge 121km, Mymensingh- 124 km, Gazipur 40 km",23.7538611,90.5805827,N105
LRP009a,9.29,Culvert,Box Culvert,23.7561111,90.5792493,N105
LRP009b,9.707,Bridge,Bridge Start,23.7595833,90.5774438,N105
LRP009c,9.736,Bridge,Bridge end,23.7597778,90.5773049,N105
LRP010,10.173,Km Post,"Bangabondhu Bridge- 120 km, Mymensingh- 123 km, Gazipur 39 km",23.7633611,90.5751938,N105
LRP010a,10.44,Culvert,Box Culvert,23.7658611,90.5738604,N105
LRP010b,10.925,Bridge,Bridge Start,23.7692216,90.5719993,N105
LRP010c,10.956,Bridge,Bridge end,23.7695271,90.5718604,N105
LRP011,11.213,Km Post,Information  missing,23.7717216,90.5714716,N105
LRP012,12.257,Km Post,"Bangabondhu Bridge 118 km, Mymenshingh 151 km, Gazipur 37 km",23.7805549,90.5700549,N105
LRP012a,12.803,Cross Road,N2 Dhaka-Sylhet -Jaflong Road,23.7851941,90.5688049,N105
LRP013,13.278,Km Post,Information  missing,23.7892219,90.5688049,N105
LRP014,14.278,Km Post,Km Post missing,23.7986941,90.5687216,N105
LRP015,15.278,Km Post,Km post missing,23.8061667,90.5698049,N105
LRP016,16.278,Km Post,km Post missing,23.8141389,90.5669993,N105
LRP017,17.278,Km Post,Km Post Missing,23.8227216,90.5647222,N105
LRP017a,17.903,Culvert,Box Culvert,23.828166,90.5633611,N105
LRP017b,18.212,Culvert,Box Culvert,23.8305827,90.5622222,N105
LRP018,18.278,Km Post,km Post missing,23.8309438,90.5620556,N105
LRP018a,19.158,Culvert,Box Culvert,23.8381108,90.5593056,N105
LRP019,19.278,Km Post,km Post missing,23.8383886,90.5585833,N105
LRP019a,19.644,Culvert,Box Culvert,23.8382219,90.5550278,N105
LRP019b,20.007,Culvert,Box Culvert,23.8381941,90.5515556,N105
LRP020,20.278,Km Post,km Post missing,23.8374163,90.5491663,N105
LRP020a,20.279,Bridge,"Bridge Start, Kanchon Bridge",23.8374163,90.5491663,N105
LRP020b,21.09,Bridge,Bridge end,23.8344997,90.5419163,N105
LRP020c,21.15,Others,RHD Dhaka Start,0,0,N105
LRP020c,21.15,Others,RHD Dhaka Start,0,0,N105
LRP020d,21.221,"Side Road, Left",Purbachal Road,23.8346386,90.5406386,N105
LRP021,21.278,Km Post,km Post missing,23.8350552,90.5400552,N105
LRP021a,21.308,Culvert,Box Culvert,23.8350552,90.5400552,N105
LRP021b,21.899,Culvert,Box Culvert,23.8392774,90.5362219,N105
LRP022,22.278,Km Post,Km Post missing,0,0,N105
LRP023,22.68,Km Post,"Bangabandhu Bridge- 109 km, Tangail-86 km, Gazipur- 28 km",23.8446386,90.5313049,N105
LRP023a,23.363,Culvert,Box Culvert,23.8465274,90.5295271,N105
LRP024,23.674,Km Post,Info missing,23.8515,90.5250827,N105
LRP025,24.681,Km Post,"Bangabandhu Bridge- 107 km, Tangail-84 km, Gazipur- 26 km",23.8584167,90.5189716,N105
LRP025a,24.911,Culvert,Box Culvert,23.8602222,90.5179438,N105
LRP025b,25.168,Culvert,Box Culvert,23.86225,90.5167493,N105
LRP026,25.681,Km Post,Km Post missing,23.8663333,90.5143611,N105
LRP026a,25.984,Culvert,Box Culvert,23.8680271,90.5120556,N105
LRP026b,26.213,Culvert,Box Culvert,23.8692493,90.51025,N105
LRP026c,26.241,Culvert,Culvert,23.871416,90.5068056,N105
LRP027,26.681,Km Post,Km Post missing,23.8715271,90.5066111,N105
LRP028,27.715,Km Post,"Bangabandhu bridge 104 km, Mymenshingh-108 km, Gazipur- 23 km",23.8795271,90.5024167,N105
LRP028a,27.735,Culvert,Box Culvert,23.8796938,90.5023611,N105
LRP028b,28.575,Culvert,Box Culvert,23.8854719,90.4979997,N105
LRP028c,28.61,"Side Road, Right","Z3010, Kaliganj- Ulukhola road",23.8938886,90.4976386,N105
LRP029,28.737,Km Post,"Bangabandhu Bridge- 103 km, Tangail-80 km, Gazipur- 22 km",23.8856108,90.4964719,N105
LRP029a,29.15,Culvert,Box Culvert,23.8859163,90.4924441,N105
LRP030,29.736,Km Post,Information  missing,23.8868608,90.4867219,N105
LRP031,30.736,Km Post,Km post missing,23.8939441,90.4831938,N105
LRP031a,31.286,"Side Road, Left",Side Road Left Z3003,23.8984997,90.4815271,N105
LRP031b,31.35,Others,RHD Gazipur Start,0,0,N105
LRP031b,31.35,Others,RHD Gazipur Start,0,0,N105
LRP031c,31.365,Bridge,Bridge Start,23.899083,90.4813049,N105
LRP031d,31.546,Bridge,Bridge end,23.899083,90.4824993,N105
LRP032,31.736,Km Post,Km post missing,23.9133889,90.4803882,N105
LRP032a,31.809,Culvert,Box culvert,23.9028611,90.4802771,N105
LRP032b,32.284,Culvert,Box culvert,23.9069167,90.4788882,N105
LRP033,32.829,Km Post,"Gazipur 18 km,Tangail 76 km,Bangabandhu 99 km",23.9101944,90.4753327,N105
LRP033a,33.087,Culvert,Box culvert,23.9117222,90.4734716,N105
LRP033b,33.333,Culvert,Box Culvert,23.9139722,90.4703604,N105
LRP034,33.829,Km Post,"Gazipur 17 km, Tangail 75 km, Bangabandhu 98 km,",23.9165833,90.4689438,N105
LRP034a,33.83,Bridge,Bridge start,23.9165833,90.4689438,N105
LRP034b,33.981,Bridge,Bridge end,23.9178604,90.4685549,N105
LRP034c,34.589,Culvert,Box culvert,23.921416,90.4645278,N105
LRP035,34.869,Km Post,"Gazipur 16 km,Tangail 74 km,Bangabandhu Bridge 97 km",23.9225827,90.4620833,N105
LRP035a,35.199,Culvert,Box culvert,23.9240549,90.4591944,N105
LRP036,35.869,Km Post,Km post missing,23.9277771,90.4543611,N105
LRP036a,35.895,Rail Road Crossing,Rail Road Crossing,23.9279716,90.4543611,N105
LRP036b,36.158,Cross Road,"R301, Tongi- Panchhona road",23.9298327,90.4530278,N105
LRP037,36.895,Km Post,Km post missing,23.9338886,90.4475274,N105
LRP037a,36.926,Culvert,Box culvert,23.9340274,90.4473052,N105
LRP037b,37.348,Culvert,Box culvert,23.936333,90.4440552,N105
LRP037c,37.573,Culvert,Box Culvert,23.9383608,90.4414163,N105
LRP038,37.88,Km Post,"Gazipur 13 km,Mymensingh 98 km,Bangabandhu Bridge 94 km",23.9395552,90.4401663,N105
LRP038a,38.293,Culvert,Pipe Culvert,23.9426108,90.4361663,N105
LRP039,38.88,Km Post,"Gazipur 12 km,Tangail 70 km,Bangabandhu bridge 93 km",23.9447497,90.4322493,N105
LRP039a,39.163,Culvert,Box Culvert,23.946333,90.4287493,N105
LRP040,39.88,Km Post,Km post missing,23.9484719,90.4233327,N105
LRP040a,40.804,Rail Road Crossing,Rail Road Crossing,23.9496663,90.4143889,N105
LRP041,40.88,Km Post,Km post missing,23.9499163,90.4136667,N105
LRP041a,41.216,Culvert,Box culvert,23.95075,90.4105278,N105
LRP042,41.78,Km Post,"Gazipur 9 km, Tangail 67 km, Bangabandhu Bridge 90 km",23.9522222,90.4043889,N105
LRP042a,41.914,Culvert,Box culvert,23.95225,90.4038889,N105
LRP042b,42.426,Culvert,Box culvert,23.9563611,90.40125,N105
LRP043,42.88,Km Post,Km post missing,23.9660278,90.3989163,N105
LRP044,43.88,Km Post,B.Bridge 88 km,23.9684993,90.3978608,N105
LRP044a,44.081,Culvert,Box culvert,23.970166,90.3972497,N105
LRP044b,44.23,Cross Road,Cros Road Z3008,23.971416,90.3968052,N105
LRP044c,44.513,Culvert,Box Culvert,23.9736104,90.3940274,N105
LRP045,44.88,Km Post,"B.Bridge 87 km,Tangail 64 km",23.9744993,90.3916108,N105
LRP045a,44.953,Culvert,Box Culvert,23.9751104,90.3900552,N105
LRP045b,45.253,Culvert,Box Culvert,23.9761104,90.3873608,N105
LRP045c,45.553,Culvert,Box Culvert,23.9772493,90.3843886,N105
LRP046,45.88,Km Post,Km post missing,23.9769716,90.382166,N105
LRP046a,45.998,Cross Road,Dhaka -Mymensingh N3 Road,23.9774993,90.3805549,N105
LRP046b,46.223,Culvert,Box Culvert,23.9774438,90.3781104,N105
LRP046c,46.563,Culvert,Box Culvert,23.9773604,90.3751938,N105
LRP046d,46.803,Culvert,Box Culvert,23.9776382,90.372166,N105
LRP047,46.859,Km Post,"B.Bridge 85 km,Tangail 162 km",23.9774993,90.3726382,N105
LRP047a,47.643,Culvert,Box culvert,23.9826382,90.3669993,N105
LRP047b,48.265,Culvert,Box Culvert,23.986583,90.3625,N105
LRP048,48.87,Km Post,"B.Bridge 83 km,Tangail 60 km",23.9895274,90.3582222,N105
LRPE,48.881,Others,End of Road  Intersection at N4 at Joydebpur.,23.9895274,90.3582222,N105
LRPS,0,Others,Start of Road  from Oxygen  More,22.3935552,91.8215827,N106
LRPS,0,Others,Start of Road  from Oxygen  More,22.3935552,91.8215827,N106
LRPS,0,Others,Start of Road  from Oxygen  More,22.3935552,91.8215827,N106
LRPSa,0.48,Culvert,Box culvert,22.3974997,91.8200271,N106
LRPSb,0.648,Culvert,Box culvert,22.3990552,91.8198049,N106
LRPSc,0.822,Culvert,Box culvert,22.4004722,91.8193604,N106
LRP001,1,Km Post,Km post missing,22.4020556,91.8191104,N106
LRP001a,1.328,Culvert,Slab culvert,22.4049722,91.8188882,N106
LRP001b,1.445,Culvert,Box culvert,22.4060278,91.818666,N106
LRP002,2,Km Post,Km post missing,22.4108056,91.8182493,N106
LRP002a,2.156,Culvert,Box culvert,22.4121667,91.8185549,N106
LRP002b,2.532,Bridge,Bridge start,22.4154722,91.819166,N106
LRP002c,2.554,Bridge,Bridge end,22.4156389,91.819166,N106
LRP003,3,Km Post,Km post missing,22.4196104,91.8197216,N106
LRP003a,3.317,Culvert,Box culvert,22.4223882,91.8200271,N106
LRP003b,3.552,Culvert,Box culvert,22.4244438,91.8197771,N106
LRP004,4.05,Km Post,"Rangamati 64 km,Hathazari 8 km",22.428916,91.819666,N106
LRP004a,4.292,Culvert,Box culvert,22.4309993,91.8199993,N106
LRP004c,4.948,Culvert,Box Culvert,22.4368608,91.8203327,N106
LRP005,5.05,Km Post,Km post missing,22.4377497,91.8204993,N106
LRP005a,5.107,Culvert,Box culvert,22.4382497,91.8206104,N106
LRP005b,5.834,Culvert,Box culvert,22.4444441,91.8190549,N106
LRP006,6.064,Km Post,Information missing,22.4464441,91.8185549,N106
LRP006a,6.642,Culvert,Box culvert,22.4515,91.8175827,N106
LRP006b,6.882,Culvert,Box culvert,22.4535833,91.8173049,N106
LRP007,7.064,Km Post,Km post missing,22.45525,91.817166,N106
LRP007a,7.096,Culvert,Box culvert,22.4555,91.8171382,N106
LRP007b,7.294,Culvert,Box culvert,22.45725,91.8168882,N106
LRP007c,7.882,Culvert,Box culvert,22.4624722,91.8166111,N106
LRP008,8.064,Km Post,Km post missing,22.4640556,91.8165278,N106
LRP008a,8.271,Culvert,Box culvert,22.4658611,91.8163889,N106
LRP008b,8.88,Bridge,Bridge start,22.4710827,91.8151389,N106
LRP008c,8.895,Bridge,Bridge end,22.4711938,91.8151111,N106
LRP009,9.064,Km Post,Km post missing,22.472666,91.8148056,N106
LRP009a,9.756,Culvert,Box culvert,22.4786104,91.8131667,N106
LRP010,10.108,Km Post,Information missing,22.4809438,91.8115278,N106
LRP011,11.108,Km Post,Km post missing,22.4889441,91.8079444,N106
LRP011a,11.239,Culvert,Box culvert,22.4901108,91.8079444,N106
LRP011b,11.918,Bridge,Bridge start,22.496083,91.8074444,N106
LRP012,12.108,Km Post,Km post missing,22.4977497,91.8071667,N106
LRP012a,12.192,"Side Road, Left","R160, Khagrachari Road",22.4984441,91.8070833,N106
LRP013,13.22,Km Post,"Rangamati 55 km,Raozan 13 km",22.5031667,91.8147222,N106
LRP013a,13.552,Culvert,Box culvert,22.5037778,91.8178327,N106
LRP013b,14.082,Culvert,Box culvert,22.5033333,91.8228882,N106
LRP014,14.149,Km Post,"Rangamati 54 km, Raozan 12 km",22.5032778,91.8235549,N106
LRP014a,14.407,Bridge,Bridge start,22.5046111,91.8265549,N106
LRP014b,14.564,Bridge,Bridge end,22.5048889,91.8271104,N106
LRP015,15.158,Km Post,"Rangamati 53 km,Raozan 11 km",22.5071389,91.8323604,N106
LRP015a,15.215,Bridge,Bridge start,22.5073056,91.8328604,N106
LRP015b,15.263,Bridge,Bridge end,22.5074167,91.8331938,N106
LRP015c,15.384,Culvert,Box culvert,22.5079167,91.834333,N106
LRP016,16.158,Km Post,Km post missing,22.5108611,91.8411386,N106
LRP016a,16.191,Culvert,Box Culvert,22.5109167,91.8414163,N106
LRP016b,16.769,Bridge,Bridge start,22.5137222,91.8453608,N106
LRP016c,16.872,Bridge,Bridge end,22.5146389,91.8454163,N106
LRP017,16.928,Km Post,"Rangamati 51 km,Raozan9 km",22.5151111,91.8455274,N106
LRP017a,17.253,Culvert,Box culvert,22.5160556,91.8481663,N106
LRP018,17.788,Km Post,Rangamati 50 km,22.5162222,91.8532778,N106
LRP018a,17.929,Bridge,Bridge start,22.5162222,91.8545278,N106
LRP018b,17.956,Bridge,Bridge end,22.51625,91.8547778,N106
LRP018c,18.622,Culvert,Box culvert,22.5214993,91.8605833,N106
LRP019,18.788,Km Post,Km post missing,22.5193882,91.8620278,N106
LRP019a,18.921,Culvert,Box culvert,22.5198882,91.8632222,N106
LRP019b,19.15,Culvert,Box Culvert,22.5213604,91.866916,N106
LRP019c,19.321,"Side Road, Left",Road to Fatikchari,22.5217771,91.8681104,N106
LRP020,19.58,Km Post,"Rangamati 48 km,Raozan 6 km",22.5223327,91.8689438,N106
LRP020a,19.723,Culvert,Box culvert,22.5230271,91.8700827,N106
LRP020b,20.172,Bridge,Bridge start,22.5262216,91.8726938,N106
LRP020c,20.212,Bridge,Bridge end,22.5264993,91.8728604,N106
LRP021,20.622,Km Post,"Rangamati 47 km,Raozan 5 km",22.5283882,91.8760271,N106
LRP021a,20.85,Bridge,Bridge start,22.5288604,91.8781382,N106
LRP021b,20.878,Bridge,Bridge end,22.5288882,91.878416,N106
LRP022,21.569,Km Post,"Rangamati 46 km,Raozan 4 km",22.5308049,91.8848052,N106
LRP022a,22.099,Bridge,Bridge start,22.5322771,91.8896386,N106
LRP022b,22.129,Bridge,Bridge end,22.5322771,91.8898886,N106
LRP022c,22.367,Culvert,Box culvert,22.5325549,91.8921386,N106
LRP023,22.569,Km Post,Km post missing,22.5327771,91.8941108,N106
LRP023a,22.608,Culvert,Box culvert,22.5328049,91.8944997,N106
LRP023b,22.981,Culvert,Box culvert,22.533333,91.8980552,N106
LRP023c,23.122,Bridge,Bridge start,22.5334997,91.8993608,N106
LRP023d,23.142,Bridge,Bridge end,22.5335274,91.8995552,N106
LRP023e,23.399,Bridge,Bridge start,22.5342219,91.9019167,N106
LRP023f,23.425,Bridge,Bridge end,22.5342497,91.9021667,N106
LRP024,23.469,Km Post,Rangamati 44 km,22.5343052,91.9025833,N106
LRP024a,23.81,Culvert,Box culvert,22.5349163,91.9058611,N106
LRP024b,24.297,"Side Road, Right",Road to Jalepara,22.5349719,91.9103611,N106
LRP025,24.458,Km Post,"Rangamati 43 km,Raozan 0 km",22.5350552,91.9116944,N106
LRP025a,24.623,"Side Road, Left",Road to Brahmanchari,22.5349997,91.91325,N106
LRP025b,24.867,Culvert,Box culvert,22.5349441,91.9155556,N106
LRP025c,25.151,Culvert,Box Culvert,22.5348608,91.9183327,N106
LRP025d,25.278,"Side Road, Right",Road to Katakhali,22.5347219,91.9194716,N106
LRP026,25.651,Km Post,Rangamati 42 km,22.535333,91.9229716,N106
LRP026a,25.736,Culvert,Box culvert,22.5354997,91.9238049,N106
LRP026b,26.112,Culvert,Box culvert,22.5358886,91.927416,N106
LRP026c,26.255,Culvert,Box culvert,22.5359163,91.9287216,N106
LRP027,26.372,Km Post,"Rangamati 42 km,Betbunia10 km",22.5359997,91.9299438,N106
LRP027a,26.954,Culvert,Box culvert,22.5369719,91.9355274,N106
LRP028,27.316,Km Post,"Rangamati 41 km,Betbunia 9 km",22.5377774,91.9389163,N106
LRP029,28.004,Km Post,"Rangamati 40 km,Betbunia 8 km",22.5381108,91.9455552,N106
LRP030,28.621,Km Post,"Rangamati 39 km,Betbunia 7 km",22.5395552,91.9513056,N106
LRP030a,29.139,Bridge,Bridge start,22.5386941,91.9559722,N106
LRP030b,29.154,Bridge,Bridge end,22.5386663,91.9561389,N106
LRP031,29.203,Km Post,"Rangamati 38 km,Betbunia 6 km",22.5386663,91.9565556,N106
LRP031a,29.217,Culvert,Box Culvert,22.5386108,91.9566389,N106
LRP032,30.084,Km Post,"Rangamati 37 km,Betbunia 5 km",22.5385552,91.9651111,N106
LRP032a,30.247,Culvert,Box culvert,22.538333,91.9667216,N106
LRP032b,30.41,Others,Start of Rangamati road Division,22.5382219,91.9688049,N106
LRP032b,30.41,Others,Start of Rangamati road Division,22.5382219,91.9688049,N106
LRP032c,30.798,Bridge,Bridge start,22.5406108,91.9691104,N106
LRP032d,30.817,Bridge,Bridge end,22.5406108,91.9692771,N106
LRP033,31.084,Km Post,Km post missing,22.5411108,91.9718049,N106
LRP033a,31.247,Culvert,Box Culvert,22.5412497,91.973166,N106
LRP033b,31.347,Culvert,Box Culvert,22.5413886,91.9742216,N106
LRP034,31.353,Km Post,"Rangamati 36 km,Betbunia 4 km",22.5413886,91.9742493,N106
LRP034a,31.495,Culvert,Box Culvert,22.5417219,91.9755549,N106
LRP034b,31.596,Culvert,Box Culvert,22.5421108,91.976416,N106
LRP034c,31.68,Culvert,Box Culvert,22.5418052,91.977166,N106
LRP034d,31.861,Culvert,Box Culvert,22.5404997,91.9781104,N106
LRP034e,32.113,Culvert,Box Culvert,22.5394441,91.9801938,N106
LRP034f,32.354,Culvert,Box Culvert,22.5389719,91.9820271,N106
LRP035,32.384,Km Post,"Rangamati 35 km, Betbunia 3 km",22.539083,91.9822493,N106
LRP035a,32.517,Culvert,Box Culvert,22.5396108,91.9833049,N106
LRP035b,32.672,Culvert,Box Culvert,22.5404163,91.9842774,N106
LRP035c,32.887,Culvert,Box Culvert,22.542083,91.9851941,N106
LRP035d,32.999,Culvert,Box Culvert,22.5429719,91.9854163,N106
LRP035e,33.161,Culvert,Box Culvert,22.5443886,91.9855552,N106
LRP036,33.407,Km Post,"Rangamati 34 km, Betbunia 2 km",22.5459997,91.9871108,N106
LRP036a,33.48,Culvert,Box Culvert,22.5464441,91.987583,N106
LRP036b,33.624,Culvert,Box Culvert,22.5468052,91.9886941,N106
LRP036c,33.738,Culvert,Box Culvert,22.5464441,91.9896941,N106
LRP036d,34.087,Culvert,Box Culvert,22.5450552,91.9926941,N106
LRP036e,34.22,Culvert,Box Culvert,22.5453052,91.9843886,N106
LRP036f,34.411,Culvert,Box Culvert,22.5455274,91.9956386,N106
LRP036g,34.44,Culvert,Box Culvert,22.5456108,91.9959163,N106
LRP037,34.514,Km Post,"Rangamati 34 km, Betbunia 1 km",22.5457497,91.9966386,N106
LRP037a,34.708,Culvert,Box Culvert,22.5458886,91.9983608,N106
LRP037b,34.936,Culvert,Box Culvert,22.5454719,92.0003333,N106
LRP037c,35.02,Culvert,Box Culvert,22.5455274,92.0050278,N106
LRP038,35.514,Km Post,Km post missing,22.5453052,92.0053611,N106
LRP038a,35.917,Culvert,Box Culvert,22.5439719,92.0088611,N106
LRP038b,36.024,Culvert,Box Culvert,22.5439163,92.0099167,N106
LRP039,36.56,Km Post,Rangamati 31 km,22.5479441,92.0118611,N106
LRP039a,36.594,Culvert,Box Culvert,22.5481941,92.012,N106
LRP039b,36.827,Culvert,Box Culvert,22.549833,92.0133056,N106
LRP039c,37.25,"Side Road, Left",Road from Kawakhali,22.5524444,92.0162222,N106
LRP039d,37.289,Bridge,Bridge start,22.5526389,92.0165278,N106
LRP039e,37.318,Bridge,Bridge end,22.5527778,92.0167493,N106
LRP040,37.403,Km Post,Ranga mati 30 km,22.5529444,92.0174438,N106
LRP040a,37.459,Culvert,Box culvert,22.5530278,92.0179716,N106
LRP040b,37.704,Culvert,Box culvert,22.5541667,92.0198604,N106
LRP040c,38.086,Culvert,Box culvert,22.5552778,92.0236382,N106
LRP041,38.454,Km Post,Rangamati 29 km,22.5559167,92.0266938,N106
LRP041a,39.137,Culvert,Box culvert,22.5585278,92.0325827,N106
LRP042,39.409,Km Post,Rangamati 28 km,22.5597778,92.0346108,N106
LRP042a,39.639,Culvert,Box culvert,22.5611111,92.0359997,N106
LRP042b,40.04,Culvert,Box culvert,22.5638611,92.0381386,N106
LRP043,40.589,Km Post,Rangamati 27 km,22.5683882,92.0397774,N106
LRP043a,40.759,Bridge,Ranirhat bridge,22.569666,92.0404997,N106
LRP043b,40.892,Bridge,Ranirhat bridge,22.5707771,92.0409163,N106
LRP043c,41.364,Culvert,Box culvert,22.5746938,92.0427497,N106
LRP044,41.529,Km Post,Rangamati 26 km,22.5758049,92.0435552,N106
LRP044a,41.609,Culvert,Box culvert,22.5762493,92.0440274,N106
LRP044b,41.825,"Side Road, Left",Z1617,22.5774993,92.0454719,N106
LRP044c,42.186,Culvert,Box culvert,22.5798049,92.0476663,N106
LRP044d,42.349,Culvert,Box culvert,22.5807493,92.0488052,N106
LRP045,42.524,Km Post,"Rangamati 25 km,Ghagra 6 km",22.5815827,92.0501389,N106
LRP045a,43.186,Culvert,Box culvert,22.5839441,92.0558611,N106
LRP046,43.602,Km Post,"Rangamati 24 km,Ghagra 6 km",22.5852774,92.0595833,N106
LRP046a,44,Culvert,Box culvert,22.5869163,92.0629722,N106
LRP047,44.72,Km Post,"Rangamati 23 km,Ghagra 5 km",22.5900274,92.0690827,N106
LRP047a,45.242,Bridge,Bridge start,22.5935552,92.0714716,N106
LRP047b,45.26,Bridge,Bridge end,22.5935274,92.0716382,N106
LRP048,45.72,Km Post,Km post missing,22.5942497,92.0758049,N106
LRP048a,45.735,Culvert,Box culvert,22.5943052,92.0758604,N106
LRP048b,46.17,Culvert,Box culvert,22.5969997,92.0788604,N106
LRP048c,46.422,Culvert,Box culvert,22.5981108,92.0808604,N106
LRP049,46.72,Km Post,Km post missing,22.5986386,92.0836386,N106
LRP050,47.641,Km Post,"Rangamati 20 km,Ghagra 2 km",22.6033611,92.0904719,N106
LRP051,48.732,Km Post,Information missing,22.6078611,92.0956386,N106
LRP051a,48.879,"Side Road, Right","R161, Road to Bandarban",22.6088889,92.0964719,N106
LRP051b,49.001,Culvert,Box culvert,22.6094444,92.0973886,N106
LRP051c,49.617,Culvert,Box culvert,0,0,N106
LRP052,49.637,Km Post,"Rangamati 18 km,Ghagra 0 km",22.6122222,92.1019722,N106
LRP052a,50.365,Culvert,Box culvert,22.6188049,92.1027778,N106
LRP052b,50.608,Culvert,Box culvert,22.6192493,92.1031944,N106
LRP053,50.742,Km Post,Rangamati 17 km,22.6203604,92.1038056,N106
LRP053a,51.118,Culvert,Box culvert,22.6221104,92.1066111,N106
LRP053b,51.289,Culvert,Box culvert,22.622916,92.1081111,N106
LRP054,51.656,Km Post,Rangamati 16 km,22.6240827,92.1106667,N106
LRP054a,51.94,Culvert,Box culvert,22.6267216,92.1125278,N106
