LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRP437a,432.924,Culvert,Box culvert,21.0864997,92.2151111,N1
LRP437b,432.992,Culvert,Box culvert,21.0859441,92.2153889,N1
LRP437c,433.245,Culvert,Box culvert,21.0838608,92.2161111,N1
LRP437d,433.483,Culvert,Box culvert,21.0838608,92.2161111,N1
LRP438,433.578,Km Post,Km post missing,21.0811104,92.2169438,N1
LRP438a,433.683,Culvert,Box culvert,21.0803049,92.2174993,N1
LRP438b,433.944,Culvert,Box culvert,21.0783327,92.2186382,N1
LRP438c,434.003,Culvert,Box culvert,21.077916,92.2189993,N1
LRP438d,434.263,Culvert,Box culvert,21.0765549,92.2209993,N1
LRP438e,434.522,Culvert,Box culvert,21.0745271,92.2220549,N1
LRP439,434.668,Km Post,Info.Missing,21.0735271,92.2226104,N1
LRP439a,434.778,Culvert,Box culvert,21.0728327,92.2232216,N1
LRP439b,434.96,Culvert,Box culvert,21.071666,92.2242216,N1
LRP439c,435.272,Culvert,Box culvert,21.0691104,92.2246382,N1
LRP439d,435.522,Culvert,Box culvert,21.0668882,92.2246104,N1
LRP440,435.668,Km Post,Km post missing,21.0655833,92.2245549,N1
LRP440a,435.746,Culvert,Box culvert,21.0650556,92.2245271,N1
LRP440b,436.007,Culvert,Box culvert,21.063,92.2254993,N1
LRP440c,436.195,Culvert,Box culvert,21.0615556,92.2262771,N1
LRP440d,436.399,Bridge,Bridge start,21.0597778,92.2263882,N1
LRP440e,436.414,Bridge,Bridge end,21.0596667,92.2263882,N1
LRP441,436.756,Km Post,Info.Missing,21.0565833,92.2266104,N1
LRP441a,436.94,Culvert,Box culvert,21.0549722,92.2268049,N1
LRP441b,437.588,Bridge,Bridge start,21.0513611,92.2302493,N1
LRP441c,437.626,Bridge,Bridge end,21.0513611,92.2305827,N1
LRP442,437.751,Km Post,Teknaf 24 km,21.0513056,92.2317493,N1
LRP442a,437.815,Culvert,Box culvert,21.0512778,92.2323327,N1
LRP442b,438.004,Culvert,Box culvert,21.0507222,92.2338608,N1
LRP442c,438.332,Culvert,Box culvert,21.0479441,92.2346386,N1
LRP442d,438.713,Culvert,Box culvert,21.0446941,92.2356941,N1
LRP443,438.8,Km Post,Teknaf 23 km,21.0439163,92.2359441,N1
LRP443a,439.197,Culvert,Box culvert,21.0407497,92.2374997,N1
LRP443b,439.737,Bridge,Bridge start,21.0363608,92.2396941,N1
LRP443c,439.778,Bridge,Bridge end,21.0360552,92.2398608,N1
LRP444,440.049,Km Post,Teknaf 21 km,21.0338608,92.2407774,N1
LRP444a,440.252,Culvert,Box culvert,21.0321104,92.241083,N1
LRP444b,440.485,Culvert,Box culvert,21.0300549,92.2413608,N1
LRP444c,440.839,Culvert,Box culvert,21.0269438,92.2416941,N1
LRP445,441.048,Km Post,Km post missing,21.0249993,92.2418608,N1
LRP445a,441.292,Bridge,Bridge start,21.0228882,92.2420274,N1
LRP445b,441.327,Bridge,Bridge end,21.0226104,92.2420552,N1
LRP446,441.811,Km Post,Infor.missing,21.0186104,92.2431386,N1
LRP446a,442.018,Culvert,Box culvert,21.0169993,92.2440274,N1
LRP446b,442.274,Culvert,Box culvert,21.0150833,92.245333,N1
LRP447,442.881,Km Post,Teknaf 20 km,21.0107222,92.2487219,N1
LRP447a,442.972,Culvert,Box culvert,21.0101389,92.2492497,N1
