road,id,model_type,name,lat,lon,length,condition,lrp,ZONE,NEWFIELD1,AFFECTED
N1,1001350,bridge,PALONG KHALI CULVERT,21.1586667,92.1525,3,C,LRP426b,II,D,
N1,1001354,bridge,PALONG KHALI BAZAR (1),21.1521944,92.1535278,9,C,LRP426e,II,D,
N1,1001358,bridge,Bridge start,21.14422185,92.15866665,0,B,LRP427b,II,D,
N1,1001362,bridge,GIRA TALI RCC GIDER BRIDGE (2 bridges at crossing),21.14127745,92.16006945,15,C,LRP428a,II,D,
N1,1001365,bridge,GIVA TOLI BOX CULVERT,21.1381108,92.1648611,1,A,LRP428c,II,D,
N1,1001369,bridge,Kata Khali Bridge (2 bridges at crossing),21.1375552,92.1683049,12,D,LRP429b,II,D,
N1,1001373,bridge,KHARA KANDI RCC GIDER BRIDGE (2 bridges at crossing),21.13680525,92.1740271,15,B,LRP429e,II,D,
N1,1001379,bridge,DMONIR GONA RCC GIDER BRIDGE,21.1333747,92.18076325,3,A,LRP430c,II,D,
N1,1001384,bridge,BALUR KHALI -(1) RCC GIDER BRIDGE,21.1319716,92.1846108,5,B,LRP431a,II,D,
N1,1001390,bridge,WHIKE KANG BRIDGE,21.1239993,92.1919997,3,A,LRP432c,II,D,
N1,1001392,bridge,MOA EX-KANG-BAZAR (2 bridges at crossing),21.1229993,92.1926663,13,C,LRP432d,II,D,
N1,1001394,bridge,HOA EX KANG BAZAE,21.122166,92.1931941,3,A,LRP432e,II,D,
N1,1001396,bridge,Hoacx Kang Barbar Bridge (2 bridges at crossing),21.1214993,92.1935552,73,B,LRP432f,II,D,
N1,1001402,bridge,TASSI-PARA BAR,21.1161389,92.1969997,3,A,LRP433d,II,D,
N1,1001405,bridge,TAS SE BRIDGE HOANGK (2 bridges at crossing),21.1148889,92.19776355,13,B,LRP433f,II,D,
N1,1001409,bridge,LAMBA-BIL PORA,21.1118611,92.2006389,1,A,LRP434a,II,D,
N1,1001411,bridge,LAMBA - BIL - (1) BOX CULVERT,21.1090556,92.2045278,3,A,LRP434b,II,D,
N1,1001413,bridge,LAMBA BIL (3) BOX CULVERT,21.1078333,92.2058611,1,A,LRP434c,II,D,
N2,2000004,bridge,JATRAMURA BRIDGE (2 bridges at crossing),23.71844375,90.515625,36,B,LRP002a,II,D,
N2,2000021,bridge,GOLA GANDE BRIDGE (2 bridges at crossing),23.7853886,90.5689993,18,B,LRP012b,II,D,
N2,2000025,bridge,SHAWGHAT BOX CULVERT,23.7891108,90.5741104,4,A,LRP012e,II,D,
N2,2000029,bridge,ADURI BOX CULVERT,23.7977219,90.5808882,5,B,LRP014a,II,D,
N2,2000032,bridge,ADURI BOX CULVERT,23.8044167,90.5869163,4,B,LRP015a,II,D,
N2,2000035,bridge,BANTI BOX CULVERT,23.8141389,90.5946941,3,A,LRP016a,II,D,
N2,2000037,bridge,BANTI BRIDGE (2 bridges at crossing),23.817666,90.59812465,72,C,LRP016b,II,D,
N2,2000041,bridge,PATCHRUKHI CULVERT,23.8240271,90.6041389,3,C,LRP017a,II,D,
N2,2000044,bridge,PUTCHRUCLAI CULVERT,23.829666,90.6093056,4,A,LRP018a,II,D,
N2,2000048,bridge,SON PARA,23.83620333,90.61582641,8,B,LRP019b,II,D,
N2,2000051,bridge,FURINGDIA BOX CULVERT,23.8420274,90.6225549,8,A,LRP020a,II,D,
N2,2000054,bridge,PURINDA BAZAR BOX CULVERT,23.8455274,90.6272216,4,A,LRP021a,II,D,
N2,2000056,bridge,PURINDHA BOX CULVERT,23.8498608,90.6315827,8,A,LRP021b,II,D,
N2,2000059,bridge,SHAT GRAM BOX CULVERT,23.8552222,90.6386941,4,B,LRP022a,II,D,
N2,2000063,bridge,BAGBARI BOX CULVERT,23.8551389,90.6522778,4,A,LRP024a,II,D,
N2,2000167,bridge,Bitimargal Bridge (2 bridges at crossing),24.0401108,90.84301355,19,A,LRP056b,II,D,
N2,2000209,bridge,Mahmudabad Bridge (2 bridges at crossing),24.0565833,90.94598575,16,A,LRP067a,II,D,
N2,2000221,bridge,JAKANNATHPUR,24.0570139,90.9697771,4,A,LRP070a,II,D,
N2,2000225,bridge,KOMOLPUR CULVERT (1),24.0561944,90.9752216,6,C,LRP070d,II,D,
N2,2000231,bridge,NEAR BHAIRAB SLAB CULVERT,24.0508333,90.9901108,14,A,LRP072a,II,D,
N2,2000278,bridge,Bridge start,24.0584028,91.1188049,0,B,LRP087b,II,D,
N2,2000316,bridge,KATAKHALI BRIDGE (2 bridges at crossing),24.04079135,91.2082083,34,A,LRP097b,II,D,
N102,3000003,bridge,PORISPUR BOX CULVERT,23.4866663,91.1133611,3,A,LRPSb,II,D,
N102,3000007,bridge,Brorechon,23.4937774,91.1064722,2,A,LRP002a,II,D,
N102,3000009,bridge,SHABAR BAZAR,23.496333,91.1059167,2,A,LRP002b,II,D,
N102,3000011,bridge,ZUMUR BOX CULVERT,23.4976941,91.1055833,1,A,LRP002c,II,D,
N102,3000015,bridge,DEAB POR SLAB CULVERT,23.5112222,91.0981108,2,B,LRP004a,II,D,
N102,3000073,bridge,GAFUR NAGOR RCC GIDER BRIDGE (2 bridges at crossing),23.6588472,90.98223545,51,C,LRP028a,II,D,
N102,3000079,bridge,CMB Bazar Bridge (2 bridges at crossing),23.6658611,90.99368025,40,A,LRP029b,II,D,
N102,3000106,bridge,SONG CHAIL RCC GIDER BRIDGE,23.6956663,91.03811075,36,C,LRP035a,II,D,
N102,3000109,bridge,HAJIBARI BOX CULVERT,23.69997205,91.04416635,6,A,LRP035c,II,D,
N102,3000114,bridge,BRAMMON PARA BOX CULVERT,23.70427775,91.05004165,12,A,LRP036b,II,D,
N102,3000117,bridge,BRAMMON PARA BOX CULVERT,23.70529762,91.05139557,12,A,LRP036d,II,D,
N102,3000121,bridge,MUDUPPUR BOX CULVERT,23.70833335,91.05529165,13,C,LRP037a,II,D,
N102,3000174,bridge,TILLACK PUR RCC GIDER BRIDGE (2 bridges at crossing),23.80695835,91.15134725,50,A,LRP052a,II,D,
N102,3000178,bridge,CHATURA CULVERT,23.814375,91.15294445,37,B,LRP053a,II,D,
N102,3000183,bridge,MATIA PARA BOX CULVERT,23.82987435,91.1551389,5,A,LRP055a,II,D,
N102,3000189,bridge,Bridge start,23.8457913,91.15729165,0,B,LRP056b,II,D,
N102,3000231,bridge,Bridge start,23.95565275,91.11622225,0,B,LRP070a,II,D,
N102,3000239,bridge,Bridge Start,23.97082554,91.1011813,0,B,LRP073a,II,D,
N104,4000002,bridge,S.S.SK ROAD SLAB CULVERT,23.0092778,91.3952497,3,B,LRPSa,II,D,
N104,4000007,bridge,PAZGACIA SLAB CULVERT,23.0098611,91.3737216,3,C,LRP002a,II,D,
N105,5000003,bridge,MODONPUR COLLEGE,23.6993052,90.5515278,6,A,LRP001a,II,D,
N105,5000006,bridge,LALADI CULVERT,23.7072222,90.5596389,6,A,LRP002a,II,D,
