bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
1000861,HATIAR PULL PC GIDER BRIDGE (2 bridges at crossing),N1,A,22,False,0,0,1,1234567
1000871,Rataykul Bridge (2 bridges at crossing),N1,A,22,False,0,0,1,1234567
1000874,BONPUKR PARA BOX CULVERT,N1,A,8,False,0,0,1,1234567
1000878,SANTI RCC GIDER BRIDGE (2 bridges at crossing),N1,A,22,False,0,0,1,1234567
1000890,AZIZNAGOR BOX CULVERT,N1,A,2,False,0,0,1,1234567
1000900,HARBHANG CHOR,N1,A,14,False,0,0,1,1234567
1000903,GHOIL MARA BOX CULVERT,N1,A,9,False,0,0,1,1234567
1000906,HARBANG,N1,A,3,False,0,0,1,1234567
1000909,HARBANG,N1,A,3,False,0,0,1,1234567
1000912,HARBANGCHORA (2 bridges at crossing),N1,A,56,False,0,0,1,1234567
1000916,ALIPUR BOX CULVERT,N1,A,14,False,0,0,1,1234567
1000918,HARBANG,N1,A,2,False,0,0,1,1234567
1000927,BODOI TOLA RCC GIDER BRIDGE (2 bridges at crossing),N1,A,46,False,0,0,1,1234567
1000930,BODAITALI BOX CULVERT,N1,A,12,False,0,0,1,1234567
1000933,BODOITOLI BOX CULVERT,N1,A,14,False,0,0,1,1234567
1000937,BANIYAR CHORA,N1,A,14,False,0,0,1,1234567
1000942,NOL BELA BOX CULVERT,N1,A,21,False,0,0,1,1234567
1000951,DIDDA BAZAR BOX CULVERT,N1,A,16,False,0,0,1,1234567
1000954,Bridge start,N1,B,0,False,0,0,1,1234567
1000966,PASIYAKALI (2) (2 bridges at crossing),N1,A,39,False,0,0,1,1234567
1000981,Bridge start,N1,B,0,False,0,0,1,1234567
1000989,Bridge start,N1,B,0,False,0,0,1,1234567
1000993,PAGOLARIBIL,N1,A,4,False,0,0,1,1234567
1001003,Bridge start,N1,B,0,False,0,0,1,1234567
1001027,Eidgaon Bazar Bridge (2 bridges at crossing),N1,A,46,False,0,0,1,1234567
1001030,Goro Bazar Bridge (2 bridges at crossing),N1,A,45,False,0,0,1,1234567
1001038,KALIRCHARA BOX CULVERT,N1,A,8,False,0,0,1,1234567
1001059,JOARIANALA BAZAR PC GIDER BRIDGE(L) (3 bridges at crossing),N1,A,58,False,0,0,1,1234567
1001070,Mitacmari Ramu Bridge (2 bridges at crossing),N1,A,59,False,0,0,1,1234567
1001074,MARULA (WEST),N1,A,3,False,0,0,1,1234567
1001076,MARULA BOX CULVERT,N1,A,2,False,0,0,1,1234567
1001079,RAMU BRAC OFFICE,N1,A,7,False,0,0,1,1234567
1001081,RAMU BY PASS MORE,N1,A,4,False,0,0,1,1234567
1001084,RAMU MOUR BOX CULVDERT,N1,A,13,False,0,0,1,1234567
1001087,ROMA CALLAGE BOX CULVERT,N1,A,19,False,0,0,1,1234567
1001090,ROMA TECHIPUL,N1,A,8,False,0,0,1,1234567
1001093,SAMBAR PUL CULVERT,N1,A,7,False,0,0,1,1234567
1001095,CHAKMARKOOL,N1,A,12,False,0,0,1,1234567
1001098,CHAKMAR KOOL BOX CULVERT,N1,A,9,False,0,0,1,1234567
1001101,KHURUTIA BOX CULVERT,N1,A,2,False,0,0,1,1234567
1001103,KHURULIA CULVERT,N1,A,7,False,0,0,1,1234567
1001105,KHURULIA SCHOOL BOX CULVERT,N1,A,17,False,0,0,1,1234567
1001107,KHURULIA SCHOOL BOX CULVERT,N1,A,19,False,0,0,1,1234567
1001110,KHURULIA CHAIRMAN PARA BOX CULVERT,N1,A,7,False,0,0,1,1234567
1001112,Sarkarpara Bridge (2 bridges at crossing),N1,A,13,False,0,0,1,1234567
1001116,WEST DOVGE BOX CULVERT,N1,A,11,False,0,0,1,1234567
1001118,MUKTAR KUL,N1,A,9,False,0,0,1,1234567
1001122,BAKKHALI BRIDGE (2 bridges at crossing),N1,A,148,False,0,0,1,1234567
1001125,MOHURI RARA BOX,N1,A,4,False,0,0,1,1234567
1001128,RABAR DAM BOX,N1,A,10,False,0,0,1,1234567
1001130,LINK ROAD CULVERT,N1,A,9,False,0,0,1,1234567
1001134,BASIC ARIA (1),N1,C,11,False,0,0,1,1234567
1001143,SHORAR COOL,N1,A,8,False,0,0,1,1234567
1001145,SOUTH MITTA CHORI,N1,B,8,False,0,0,1,1234567
1001150,SOUTH MITHACHARI,N1,B,2,False,0,0,1,1234567
