bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank
1000580,N1,Chotokumir Bridge (2 bridges at crossing),A,41,22.51295835,91.70815275,16921.3,29.41,0.557509324055404,0.5843433339956289,0.5655595270374714,77
1000512,N1,RONA SORA CULVERT,A,3,22.6543889,91.6381386,16921.3,29.41,0.557509324055404,0.5843433339956289,0.5655595270374714,78
1000501,N1,TARAT BOX CULVERT,A,6,22.6769438,91.6268327,16921.2,29.41,0.55750602933618,0.5843433339956289,0.5655572207340147,79
1000572,N1,Bridge start,B,0,22.519340703614457,91.70538219036143,16921.1,29.41,0.5575027346169559,0.5843433339956289,0.5655549144305578,80
1000576,N1,Bridge start,B,0,22.51636115,91.70666665,16920.8,29.41,0.5574928504592839,0.5843433339956289,0.5655479955201874,81
1000558,N1,Bridge start,B,0,22.56406945,91.6859302,16920.8,29.41,0.5574928504592839,0.5843433339956289,0.5655479955201874,82
1000564,N1,Bridge start,B,0,22.55023615,91.690333,16920.7,29.41,0.5574895557400599,0.5843433339956289,0.5655456892167305,83
1000587,N1,ROYL CIMINT GATE CULVETRT,A,4,22.507375,91.71059725,16920.2,29.41,0.5574730821439398,0.5843433339956289,0.5655341576994465,84
1000584,N1,Bridge start,B,0,22.50940275,91.70966665,16919.5,29.41,0.5574500191093715,0.5843433339956289,0.5655180135752487,85
1000606,N1,Bridge start,B,0,22.4587361,91.730416,16918.7,29.41,0.5574236613555793,0.5843433339956289,0.5654995631475941,86
1000592,N1,Bridge start,B,0,22.49686075,91.71559725,16918.6,29.41,0.5574203666363552,0.5843433339956289,0.5654972568441372,87
1000642,N1,Bridge start,B,0,22.37634854468085,91.77047963315604,16918.5,29.41,0.5574170719171313,0.5843433339956289,0.5654949505406806,88
1000630,N1,Bridge start,B,0,22.398833000000003,91.7576667,16918.2,29.41,0.5574071877594592,0.5843433339956289,0.5654880316303101,89
1000616,N1,Bridge start,B,0,22.430596549999997,91.74162465,16918.2,29.41,0.5574071877594592,0.5843433339956289,0.5654880316303101,90
1000599,N1,Bridge start,B,0,22.477416,91.72108265,16917.9,29.41,0.5573973036017871,0.5843433339956289,0.5654811127199396,91
1000636,N1,Bridge start,B,0,22.3889997,91.7606111,16917.7,29.41,0.5573907141633391,0.5843433339956289,0.565476500113026,92
1000611,N1,Bridge start,B,0,22.4423608,91.736708,16917.7,29.41,0.5573907141633391,0.5843433339956289,0.565476500113026,93
1000621,N1,Bridge start,B,0,22.418416,91.75056945,16917.6,29.41,0.557387419444115,0.5843433339956289,0.5654741938095691,94
2000021,N2,GOLA GANDE BRIDGE (2 bridges at crossing),B,18,23.7853886,90.5689993,20781.5,0.0,0.6846920755413224,0.0,0.4792844528789256,95
2000025,N2,SHAWGHAT BOX CULVERT,A,4,23.7891108,90.5741104,20780.8,0.0,0.6846690125067542,0.0,0.47926830875472787,96
2000029,N2,ADURI BOX CULVERT,B,5,23.7977219,90.5808882,20779.9,0.0,0.684639360033738,0.0,0.4792475520236166,97
2000032,N2,ADURI BOX CULVERT,B,4,23.8044167,90.5869163,20778.4,0.0,0.6845899392453776,0.0,0.4792129574717643,98
2000035,N2,BANTI BOX CULVERT,A,3,23.8141389,90.5946941,20777.8,0.0,0.6845701709300334,0.0,0.4791991196510233,99
2000037,N2,BANTI BRIDGE (2 bridges at crossing),C,72,23.817666,90.59812465,20776.9,0.0,0.6845405184570171,0.0,0.47917836291991195,100
2000041,N2,PATCHRUKHI CULVERT,C,3,23.8240271,90.6041389,20775.6,0.0,0.6844976871071047,0.0,0.47914838097497325,101
2000044,N2,PUTCHRUCLAI CULVERT,A,4,23.829666,90.6093056,20774.9,0.0,0.6844746240725366,0.0,0.47913223685077555,102
2000048,N2,SON PARA,B,8,23.83620332566845,90.6158264106952,20774.4,0.0,0.6844581504764164,0.0,0.4791207053334915,103
2000056,N2,PURINDHA BOX CULVERT,A,8,23.8498608,90.6315827,20773.8,0.0,0.6844383821610722,0.0,0.4791068675127505,104
2000051,N2,FURINGDIA BOX CULVERT,A,8,23.8420274,90.6225549,20773.6,0.0,0.6844317927226241,0.0,0.47910225490583686,105
2000054,N2,PURINDA BAZAR BOX CULVERT,A,4,23.8455274,90.6272216,20773.5,0.0,0.6844284980034002,0.0,0.47909994860238014,106
2000059,N2,SHAT GRAM BOX CULVERT,B,4,23.8552222,90.6386941,20772.9,0.0,0.6844087296880561,0.0,0.47908611078163926,107
2000063,N2,BAGBARI BOX CULVERT,A,4,23.8551389,90.6522778,20771.6,0.0,0.6843658983381437,0.0,0.4790561288367005,108
2000065,N2,RAINADI BOX CULVERT,A,4,23.8548333,90.6585556,20770.0,0.0,0.6843131828305592,0.0,0.4790192279813914,109
2000070,N2,NAWPARA BOX CULVERT,A,2,23.8539167,90.6673049,20769.0,0.0,0.684280235638319,0.0,0.47899616494682323,110
2000068,N2,KANDA PARA BOX CULVERT,A,4,23.8544722,90.6635,20768.3,0.0,0.6842571726037507,0.0,0.4789800208226255,111
2000077,N2,KURIRPARA BOX CULVERT,A,2,23.8774438,90.6666389,20765.1,0.0,0.6841517415885818,0.0,0.47890621911200726,112
2000079,N2,CHAITABOR BOX CULVERT,A,2,23.8818882,90.6665556,20764.4,0.0,0.6841286785540137,0.0,0.47889007498780956,113
2000084,N2,Panchdona Bridge (2 bridges at crossing),A,32,23.89365245,90.6669299,20763.5,0.0,0.6840990260809974,0.0,0.47886931825669815,114
2000087,N2,BOLTIRISH KANE CULVERT,B,3,23.8943052,90.6717771,20762.7,0.0,0.6840726683272053,0.0,0.4788508678290436,115
2000090,N2,SHIKANDI BOX CULVERT,C,2,23.8950552,90.6740827,20762.4,0.0,0.6840627841695331,0.0,0.47884394891867316,116
2000093,N2,UTTAR BAYANDA CULVERT,A,4,23.9048611,90.6851386,20760.8,0.0,0.6840100686619487,0.0,0.47880704806336405,117
2000100,N2,BAGDI BOX CULVERT,A,13,23.921666,90.6968886,20758.8,0.0,0.6839441742774681,0.0,0.47876092199422765,118
2000103,N2,BAGDI - 2 CULVERT,A,3,23.924166,90.699083,20757.9,0.0,0.6839145218044519,0.0,0.4787401652631163,119
2000106,N2,BASAIL BRIDGE OVER ROAD (2 bridges at crossing),A,25,23.930818799999997,90.70466665,20757.8,0.0,0.6839112270852278,0.0,0.4787378589596594,120
2000110,N2,Bala Nagar Bridge (2 bridges at crossing),A,61,23.939346899999997,90.7100139,20756.3,0.0,0.6838618062968674,0.0,0.4787032644078072,121
2000128,N2,ITAKHOLA CULVERT,A,2,23.977916,90.7312771,20754.2,0.0,0.6837926171931629,0.0,0.478654832035214,122
2000139,N2,Simbi Bridge (2 bridges at crossing),A,96,23.9939441,90.75952775,20751.1,0.0,0.683690480897218,0.0,0.4785833366280525,123
2000167,N2,Bitimargal Bridge (2 bridges at crossing),A,19,24.0401108,90.84301355,20739.1,0.0,0.6832951145903347,0.0,0.47830658021323424,124
2000175,N2,BRIDE OVER ARIAL RCC GIDER BRIDGE (2 bridges at crossing),C,140,24.047333,90.86272225,20737.3,0.0,0.6832358096443021,0.0,0.47826506675101144,125
2000178,N2,SHIBPUR RCC GIDER BRIDGE (2 bridges at crossing),A,39,24.0485413,90.8642639,20736.5,0.0,0.68320945189051,0.0,0.47824661632335697,126
2000185,N2,Khamachor Bridge (2 bridges at crossing),A,40,24.0514722,90.87436045,20736.2,0.0,0.6831995677328379,0.0,0.47823969741298644,127
2000192,N2,Noya Kandi Bridge (2 bridges at crossing),A,14,24.05293055,90.89891635,20734.5,0.0,0.6831435575060294,0.0,0.47820049025422057,128
2000196,N2,Patila Dua Bridge (2 bridges at crossing),A,13,24.0533056,90.90361115,20733.4,0.0,0.6831073155945651,0.0,0.4781751209161955,129
2000202,N2,NARAYAN PUR RCC GIDER BRIDGE (2 bridges at crossing),A,12,24.0547222,90.92137435,20731.4,0.0,0.6830414212100846,0.0,0.4781289948470592,130
2000209,N2,Mahmudabad Bridge (2 bridges at crossing),A,16,24.0565833,90.94598575,20730.0,0.0,0.6829952951409481,0.0,0.47809670659866366,131
2000217,N2,OLD BRAMMAPULRA,C,429,24.05733335,90.96331945,20729.1,0.0,0.6829656426679318,0.0,0.47807594986755225,132
2000221,N2,JAKANNATHPUR,A,4,24.0570139,90.9697771,20727.5,0.0,0.6829129271603475,0.0,0.4780390490122432,133
2000225,N2,KOMOLPUR CULVERT (1),C,6,24.0561944,90.9752216,20726.4,0.0,0.6828766852488831,0.0,0.47801367967421815,134
2000231,N2,NEAR BHAIRAB SLAB CULVERT,A,14,24.0508333,90.9901108,20726.0,0.0,0.682863506371987,0.0,0.47800445446039086,135
2000241,N2,SONARAMPUR,B,3,24.0373052,91.0073056,20723.1,0.0,0.6827679595144902,0.0,0.4779375716601431,136
2000248,N2,Sonarampur Bridge (2 bridges at crossing),C,80,24.03802745,91.0244993,20721.4,0.0,0.6827119492876818,0.0,0.4778983645013772,137
2000252,N2,SUNSRAMPUR CULVERT,A,3,24.0386941,91.0281938,20719.2,0.0,0.6826394654647532,0.0,0.4778476258253272,138
2000263,N2,BATHTOLA-2 BOX CULVERT,A,10,24.044833,91.0677771,20715.2,0.0,0.682507676695792,0.0,0.4777553736870544,139
2000771,N2,GRAM SHERPUR BRIDGE (2 bridges at crossing),A,17,24.623888200000003,91.67033265,20647.1,0.0,0.6802639729042291,0.0,0.47618478103296036,140
2000767,N2,Aminnagar Bridge (2 bridges at crossing),A,30,24.61699935,91.660125,20645.8,0.0,0.6802211415543168,0.0,0.4761547990880217,141
2000761,N2,Chaar Nopul (2 bridges at crossing),A,15,24.612875000000003,91.64426355,20642.8,0.0,0.6801222999775959,0.0,0.4760856099843171,142
2000757,N2,Umarpur Bridge (2 bridges at crossing),A,60,24.6134722,91.6350691,20642.4,0.0,0.6801091211006999,0.0,0.47607638477048986,143
2000752,N2,SYADPUR,A,7,24.6105556,91.6265549,20641.9,0.0,0.6800926475045798,0.0,0.4760648532532058,144
2000744,N2,Minazpur Bridge,A,73,24.60140275,91.6154861,20639.7,0.0,0.6800201636816511,0.0,0.4760141145771557,145
2000731,N2,Batapur Bridge (2 bridges at crossing),A,35,24.5849719,91.59972185,20636.2,0.0,0.6799048485088102,0.0,0.4759333939561671,146
2000727,N2,batapur,A,3,24.580791,91.5980969,20634.9,0.0,0.6798620171588978,0.0,0.47590341201122843,147
2000722,N2,RATUM PUR (3) (2 bridges at crossing),A,14,24.570822275949368,91.60283593924048,20633.4,0.0,0.6798125963705374,0.0,0.47586881745937615,148
2000716,N2,Dhaka Katpass Bridge (2 bridges at crossing),A,22,24.5628333,91.60275,20632.5,0.0,0.6797829438975211,0.0,0.47584806072826474,149
2000718,N2,Bridge start,B,0,24.566263900000003,91.6028333,20632.1,0.0,0.6797697650206249,0.0,0.4758388355144374,150
2000712,N2,DHAKA KHATENPASS BRIDGE,A,2,24.5565,91.6041667,20632.1,0.0,0.6797697650206249,0.0,0.4758388355144374,151
2000702,N2,Bizrapar Bridge (2 bridges at crossing),A,140,24.54799965,91.6055,20631.1,0.0,0.6797368178283847,0.0,0.4758157724798692,152
2000706,N2,Bridge start,B,0,24.55194445,91.60543055,20630.5,0.0,0.6797170495130406,0.0,0.47580193465912834,153
2000697,N2,SHADARGHAT 1,A,7,24.5417219,91.6045278,20630.2,0.0,0.6797071653553685,0.0,0.4757950157487579,154
2000709,N2,VHARDEV CULVERT,A,2,24.5538889,91.605125,20629.9,0.0,0.6796972811976965,0.0,0.47578809683838746,155
2000691,N2,SODORPUR NOTUNBAZAR,A,2,24.5372497,91.6016389,20629.4,0.0,0.6796808076015762,0.0,0.47577656532110335,156
2000689,N2,NALSUZA,A,2,24.5363052,91.6007222,20629.4,0.0,0.6796808076015762,0.0,0.47577656532110335,157
2000695,N2,SHADUGHAT,A,6,24.5398608,91.6040556,20628.8,0.0,0.679661039286232,0.0,0.47576272750036236,158
2000693,N2,DHAKA SHAISTAGANG HALIGAN,A,2,24.5386941,91.6030556,20628.8,0.0,0.679661039286232,0.0,0.47576272750036236,159
